time,pm1s10,pm1s25,pm1e10,pm1e25
2025-02-14 06:27:01+00:00,,,,59.0
2025-02-14 06:28:03+00:00,,,,61.0
2025-02-14 06:29:04+00:00,,,,61.0
2025-02-14 06:30:06+00:00,,,,60.0
2025-02-14 06:31:07+00:00,,,,59.0
2025-02-14 06:32:07+00:00,,,,57.0
2025-02-14 06:34:10+00:00,,,,59.0
2025-02-14 06:35:12+00:00,,,,59.0
2025-02-14 06:36:12+00:00,,,,60.0
2025-02-14 06:37:13+00:00,,,,60.0
2025-02-14 06:38:15+00:00,,,,60.0
2025-02-14 06:39:16+00:00,,,,64.0
2025-02-14 06:41:18+00:00,,,,59.0
2025-02-14 06:42:19+00:00,,,,61.0
2025-02-14 06:43:26+00:00,,,,64.0
2025-02-14 06:44:27+00:00,,,,60.0
2025-02-14 06:45:29+00:00,,,,59.0
2025-02-14 06:47:31+00:00,,,,62.0
2025-02-14 06:48:33+00:00,,,,60.0
2025-02-14 06:49:34+00:00,,,,58.0
2025-02-14 06:50:36+00:00,,,,60.0
2025-02-14 06:51:37+00:00,,,,60.0
2025-02-14 06:52:39+00:00,,,,61.0
2025-02-14 06:53:40+00:00,,,,60.0
2025-02-14 06:54:42+00:00,,,,60.0
2025-02-14 06:55:43+00:00,,,,59.0
2025-02-14 06:56:44+00:00,,,,62.0
2025-02-14 06:57:46+00:00,,,,59.0
2025-02-14 06:58:47+00:00,,,,60.0
2025-02-14 06:59:49+00:00,,,,62.0
2025-02-14 07:00:50+00:00,,,,59.0
2025-02-14 07:01:52+00:00,,,,62.0
2025-02-14 07:03:55+00:00,,,,60.0
2025-02-14 07:04:55+00:00,,,,63.0
2025-02-14 07:09:00+00:00,,,,65.0
2025-02-14 07:10:02+00:00,,,,64.0
2025-02-14 07:11:03+00:00,,,,62.0
2025-02-14 07:12:05+00:00,,,,61.0
2025-02-14 07:13:06+00:00,,,,62.0
2025-02-14 07:14:08+00:00,,,,63.0
2025-02-14 07:15:09+00:00,,,,64.0
2025-02-14 07:16:09+00:00,,,,63.0
2025-02-14 07:17:11+00:00,,,,64.0
2025-02-14 07:18:12+00:00,,,,64.0
2025-02-14 07:20:14+00:00,,,,63.0
2025-02-14 07:21:15+00:00,,,,64.0
2025-02-14 07:22:17+00:00,,,,62.0
2025-02-14 07:23:18+00:00,,,,60.0
2025-02-14 07:24:19+00:00,,,,60.0
2025-02-14 07:26:22+00:00,,,,62.0
2025-02-14 07:27:24+00:00,,,,56.0
